instance,variant,run,seed,value,weight,feasible,seconds,items
p01,AS,1,987654322,309,165,1,0.1193,1 2 3 4 6
p01,AS,2,987654323,309,165,1,0.115482,1 2 3 4 6
p01,AS,3,987654324,309,165,1,0.123634,1 2 3 4 6
p01,AS,4,987654325,309,165,1,0.123999,1 2 3 4 6
p01,AS,5,987654326,309,165,1,0.120804,1 2 3 4 6
p01,AS,6,987654327,309,165,1,0.117322,1 2 3 4 6
p01,AS,7,987654328,309,165,1,0.120044,1 2 3 4 6
p01,AS,8,987654329,309,165,1,0.117365,1 2 3 4 6
p01,AS,9,987654330,309,165,1,0.11833,1 2 3 4 6
p01,AS,10,987654331,309,165,1,0.119827,1 2 3 4 6
p01,AS,11,987654332,309,165,1,0.11842,1 2 3 4 6
p01,AS,12,987654333,309,165,1,0.163888,1 2 3 4 6
p01,AS,13,987654334,309,165,1,0.115743,1 2 3 4 6
p01,AS,14,987654335,309,165,1,0.124922,1 2 3 4 6
p01,AS,15,987654336,309,165,1,0.118785,1 2 3 4 6
p01,AS,16,987654337,309,165,1,0.11797,1 2 3 4 6
p01,AS,17,987654338,309,165,1,0.114941,1 2 3 4 6
p01,AS,18,987654339,309,165,1,0.115372,1 2 3 4 6
p01,AS,19,987654340,309,165,1,0.116338,1 2 3 4 6
p01,AS,20,987654341,309,165,1,0.11614,1 2 3 4 6
p01,ASRank,1,987754322,309,165,1,0.11938,1 2 3 4 6
p01,ASRank,2,987754323,309,165,1,0.121224,1 2 3 4 6
p01,ASRank,3,987754324,309,165,1,0.119035,1 2 3 4 6
p01,ASRank,4,987754325,309,165,1,0.120789,1 2 3 4 6
p01,ASRank,5,987754326,309,165,1,0.113957,1 2 3 4 6
p01,ASRank,6,987754327,309,165,1,0.118805,1 2 3 4 6
p01,ASRank,7,987754328,309,165,1,0.115488,1 2 3 4 6
p01,ASRank,8,987754329,309,165,1,0.116907,1 2 3 4 6
p01,ASRank,9,987754330,309,165,1,0.147781,1 2 3 4 6
p01,ASRank,10,987754331,309,165,1,0.115568,1 2 3 4 6
p01,ASRank,11,987754332,309,165,1,0.11249,1 2 3 4 6
p01,ASRank,12,987754333,309,165,1,0.118985,1 2 3 4 6
p01,ASRank,13,987754334,309,165,1,0.120669,1 2 3 4 6
p01,ASRank,14,987754335,309,165,1,0.112779,1 2 3 4 6
p01,ASRank,15,987754336,309,165,1,0.120026,1 2 3 4 6
p01,ASRank,16,987754337,309,165,1,0.119352,1 2 3 4 6
p01,ASRank,17,987754338,309,165,1,0.115134,1 2 3 4 6
p01,ASRank,18,987754339,309,165,1,0.116453,1 2 3 4 6
p01,ASRank,19,987754340,309,165,1,0.117526,1 2 3 4 6
p01,ASRank,20,987754341,309,165,1,0.117241,1 2 3 4 6
p01,MMAS,1,987854322,309,165,1,0.156721,1 2 3 4 6
p01,MMAS,2,987854323,309,165,1,0.109917,1 2 3 4 6
