instance,variant,best_value,best_weight,feasible,best_seconds,mean_seconds,std_seconds,hit_optimal,target,best_seed
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_100\test.in,AS,0,0,1,0.0005096,0.000419265,4.19097e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_100\test.in,ASRank,0,0,1,0.0007809,0.000645135,6.65052e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_100\test.in,MMAS,0,0,1,0.0003769,0.00036043,1.94573e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_100\test.in,ACS,0,0,1,0.000113,0.00010972,1.26016e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_200\test.in,AS,0,0,1,0.0004089,0.00039611,1.50961e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_200\test.in,ASRank,0,0,1,0.0005857,0.00054216,2.42964e-05,0,0,112346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_200\test.in,MMAS,0,0,1,0.0003222,0.0003297,1.44007e-05,0,0,212346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_200\test.in,ACS,0,0,1,0.0001065,0.000105355,1.59851e-06,0,0,312346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_300\test.in,AS,0,0,1,0.0003573,0.000336335,1.25991e-05,0,0,12346
C:\Users\Vibe\Documents\knapsack-4aco-cpp-tcc-master\data\jooken\dificil\n_800_c_100000000_g_10_f_0.2_eps_0.1_s_300\test.in,ASRank,0,0,1,0.000515,0.000529675,4.05171e-05,0,0,112346
