instance,variant,ants,iters,alpha,beta,rho,w,q0,xi,rep,best_value,best_weight,feasible,elapsed_ms
p01,AS,50,300,1,2,0.1,0,0,0,1,309,165,1,31
p01,AS,50,300,1,2,0.1,0,0,0,2,309,165,1,27
p01,AS,50,300,1,2,0.1,0,0,0,3,309,165,1,24
p01,AS,50,300,1,2,0.3,0,0,0,1,309,165,1,24
p01,AS,50,300,1,2,0.3,0,0,0,2,309,165,1,24
p01,AS,50,300,1,2,0.3,0,0,0,3,309,165,1,31
p01,AS,50,300,1,3,0.1,0,0,0,1,309,165,1,26
p01,AS,50,300,1,3,0.1,0,0,0,2,309,165,1,24
p01,AS,50,300,1,3,0.1,0,0,0,3,309,165,1,24
p01,AS,50,300,1,3,0.3,0,0,0,1,309,165,1,25
p01,AS,50,300,1,3,0.3,0,0,0,2,309,165,1,36
p01,AS,50,300,1,3,0.3,0,0,0,3,309,165,1,27
p01,AS,50,300,1,4,0.1,0,0,0,1,309,165,1,77
p01,AS,50,300,1,4,0.1,0,0,0,2,309,165,1,27
p01,AS,50,300,1,4,0.1,0,0,0,3,309,165,1,29
p01,AS,50,300,1,4,0.3,0,0,0,1,309,165,1,27
p01,AS,50,300,1,4,0.3,0,0,0,2,309,165,1,25
p01,AS,50,300,1,4,0.3,0,0,0,3,309,165,1,28
p01,AS,50,600,1,2,0.1,0,0,0,1,309,165,1,56
p01,AS,50,600,1,2,0.1,0,0,0,2,309,165,1,53
p01,AS,50,600,1,2,0.1,0,0,0,3,309,165,1,62
p01,AS,50,600,1,2,0.3,0,0,0,1,309,165,1,63
p01,AS,50,600,1,2,0.3,0,0,0,2,309,165,1,53
p01,AS,50,600,1,2,0.3,0,0,0,3,309,165,1,48
p01,AS,50,600,1,3,0.1,0,0,0,1,309,165,1,49
p01,AS,50,600,1,3,0.1,0,0,0,2,309,165,1,51
p01,AS,50,600,1,3,0.1,0,0,0,3,309,165,1,52
p01,AS,50,600,1,3,0.3,0,0,0,1,309,165,1,48
p01,AS,50,600,1,3,0.3,0,0,0,2,309,165,1,53
p01,AS,50,600,1,3,0.3,0,0,0,3,309,165,1,86
p01,AS,50,600,1,4,0.1,0,0,0,1,309,165,1,74
p01,AS,50,600,1,4,0.1,0,0,0,2,309,165,1,84
p01,AS,50,600,1,4,0.1,0,0,0,3,309,165,1,113
p01,AS,50,600,1,4,0.3,0,0,0,1,309,165,1,109
p01,AS,50,600,1,4,0.3,0,0,0,2,309,165,1,58
p01,AS,50,600,1,4,0.3,0,0,0,3,309,165,1,89
p01,AS,100,300,1,2,0.1,0,0,0,1,309,165,1,55
p01,AS,100,300,1,2,0.1,0,0,0,2,309,165,1,584
p01,AS,100,300,1,2,0.1,0,0,0,3,309,165,1,55
p01,AS,100,300,1,2,0.3,0,0,0,1,309,165,1,670
p01,AS,100,300,1,2,0.3,0,0,0,2,309,165,1,56
p01,AS,100,300,1,2,0.3,0,0,0,3,309,165,1,520
p01,AS,100,300,1,3,0.1,0,0,0,1,309,165,1,51
p01,AS,100,300,1,3,0.1,0,0,0,2,309,165,1,539
p01,AS,100,300,1,3,0.1,0,0,0,3,309,165,1,53
p01,AS,100,300,1,3,0.3,0,0,0,1,309,165,1,612
p01,AS,100,300,1,3,0.3,0,0,0,2,309,165,1,48
p01,AS,100,300,1,3,0.3,0,0,0,3,309,165,1,603
p01,AS,100,300,1,4,0.1,0,0,0,1,309,165,1,50
